round,generated,home_team,away_team,raw_margin,fair_mov,raw_total,fair_total,market_line,market_total,line_source
Round 24,2026-08-10,Penrith Panthers,Sydney Roosters,+1.0,+0.6,43.7,45.1,-2.5,40.5,au_median 2026-08-10
Round 24,2026-08-10,Manly Sea Eagles,Dolphins,-1.6,-0.2,45.6,45.0,+6.0,48.5,au_median 2026-08-10
Round 24,2026-08-10,Canterbury Bulldogs,South Sydney Rabbitohs,+0.7,+0.5,40.7,45.4,-2.5,42.5,au_median 2026-08-10
Round 24,2026-08-10,Cronulla Sharks,Canberra Raiders,+8.7,+2.8,46.1,44.9,-10.0,50.0,au_median 2026-08-10
Round 24,2026-08-10,Parramatta Eels,North Queensland Cowboys,+1.1,+0.6,45.3,45.0,+4.5,49.5,au_median 2026-08-10
Round 24,2026-08-10,Brisbane Broncos,New Zealand Warriors,-11.5,-3.0,50.2,44.6,+4.5,45.5,au_median 2026-08-10
Round 24,2026-08-10,Newcastle Knights,Gold Coast Titans,+9.4,+3.0,42.6,45.2,-10.5,50.0,au_median 2026-08-10
Round 24,2026-08-10,Wests Tigers,St George Illawarra Dragons,-4.2,-0.9,51.3,44.5,-1.5,47.5,au_median 2026-08-10
