round,generated,home_team,away_team,raw_margin,fair_mov,raw_total,fair_total,market_line,market_total,line_source
Round 24,2026-08-17,Hull Kingston Rovers,Warrington Wolves,+7.3,+5.4,44.4,47.2,-8.5,44.5,bet365 2026-08-17 (NOT blind)
Round 24,2026-08-17,Leigh Leopards,Bradford Bulls,+19.0,+14.5,48.0,46.7,-24.5,,bet365 2026-08-17 (NOT blind)
Round 24,2026-08-17,Wigan Warriors,Wakefield Trinity,+11.7,+8.8,45.1,47.1,-18.5,,bet365 2026-08-17 (NOT blind)
Round 24,2026-08-17,St Helens,Castleford Tigers,+11.7,+8.8,48.4,46.6,-14.5,,bet365 2026-08-17 (NOT blind)
Round 24,2026-08-17,Catalans Dragons,Hull FC,-10.4,-8.5,49.5,46.4,-6.5,,bet365 2026-08-17 (NOT blind)
Round 24,2026-08-17,York Knights,Leeds Rhinos,-19.0,-15.3,47.8,46.7,+16.5,,bet365 2026-08-17 (NOT blind)
