round,generated,home_team,away_team,raw_margin,fair_mov,raw_total,fair_total,market_line,market_total,line_source
Round 23,2026-08-10,Leeds Rhinos,Leigh Leopards,+17.3,+14.9,42.8,47.8,-12.5,,bet365 2026-08-10
Round 23,2026-08-10,Hull Kingston Rovers,Catalans Dragons,+22.3,+19.0,46.9,47.4,-24.5,,bet365 2026-08-10
Round 23,2026-08-10,Warrington Wolves,York Knights,+14.8,+12.8,46.6,47.4,-18.5,,bet365 2026-08-10
Round 23,2026-08-10,Hull FC,Castleford Tigers,+8.8,+7.8,50.4,46.9,-14.5,,bet365 2026-08-10
Round 23,2026-08-10,Wakefield Trinity,St Helens,+16.6,+14.3,47.7,47.3,-12.5,,bet365 2026-08-10
Round 23,2026-08-10,Bradford Bulls,Wigan Warriors,-26.5,-21.4,47.4,47.3,+24.5,,bet365 2026-08-10
Round 23,2026-08-10,Toulouse Olympique,Huddersfield Giants,+2.6,+2.8,51.3,46.8,-2.5,,bet365 2026-08-10
