round,generated,home_team,away_team,raw_margin,fair_mov,raw_total,fair_total,market_line,market_total,line_source
Round 25,2026-08-17,Melbourne Storm,Penrith Panthers,+0.1,-0.6,46.9,44.5,+8.5,43.5,bet365 2026-08-17 (NOT blind - lines seen first)
Round 25,2026-08-17,Canberra Raiders,Brisbane Broncos,+11.1,+3.2,44.1,44.4,-7.5,51.5,bet365 2026-08-17 (NOT blind - lines seen first)
Round 25,2026-08-17,Dolphins,Parramatta Eels,+8.5,+2.3,47.6,44.5,-13.5,51.5,bet365 2026-08-17 (NOT blind - lines seen first)
Round 25,2026-08-17,Newcastle Knights,Manly Sea Eagles,+8.9,+2.4,41.3,44.3,-8.5,50.5,bet365 2026-08-17 (NOT blind - lines seen first)
Round 25,2026-08-17,South Sydney Rabbitohs,New Zealand Warriors,-5.5,-2.6,48.5,44.6,+3.5,45.5,bet365 2026-08-17 (NOT blind - lines seen first)
Round 25,2026-08-17,St George Illawarra Dragons,Canterbury Bulldogs,-1.1,-1.0,49.6,44.6,+6.5,43.5,bet365 2026-08-17 (NOT blind - lines seen first)
Round 25,2026-08-17,Gold Coast Titans,Cronulla Sharks,-10.2,-4.2,47.6,44.5,+6.5,49.5,bet365 2026-08-17 (NOT blind - lines seen first)
Round 25,2026-08-17,Sydney Roosters,Wests Tigers,+17.4,+5.3,41.2,44.3,-16.5,51.5,bet365 2026-08-17 (NOT blind - lines seen first)
