round,generated,home_team,away_team,raw_margin,fair_mov,raw_total,fair_total,market_line,market_total
Round 23,2026-08-02,Gold Coast Titans,North Queensland Cowboys,+5.1,+1.6,43.4,44.6,+3.5,48.5
Round 23,2026-08-02,New Zealand Warriors,Penrith Panthers,+1.7,+0.5,45.6,44.5,+5.5,40.5
Round 23,2026-08-02,Sydney Roosters,Canterbury Bulldogs,+10.4,+3.2,43.9,44.6,-8.5,45.5
Round 23,2026-08-02,Melbourne Storm,Manly Sea Eagles,-1.5,-0.5,45.0,44.5,+1.5,48.5
Round 23,2026-08-02,Dolphins,Brisbane Broncos,+12.1,+3.8,46.9,44.4,-6.5,48.5
Round 23,2026-08-02,South Sydney Rabbitohs,Parramatta Eels,+4.8,+1.5,45.1,44.5,-6.5,45.5
Round 23,2026-08-02,Canberra Raiders,Newcastle Knights,-0.5,-0.2,44.3,44.5,-3.5,50.5
Round 23,2026-08-02,St George Illawarra Dragons,Cronulla Sharks,-13.2,-4.1,52.6,44.0,+15.0,50.5
