round,generated,home_team,away_team,raw_margin,fair_mov,raw_total,fair_total,market_line,market_total,line_source
Round 22,2026-08-03,Wakefield Trinity,Leeds Rhinos,+3.4,+3.8,44.3,47.5,+4.5,,bet365 2026-08-05
Round 22,2026-08-03,Castleford Tigers,Hull Kingston Rovers,-18.3,-12.5,48.3,46.9,+20.5,,bet365 2026-08-05
Round 22,2026-08-03,Leigh Leopards,York Knights,+13.2,+11.2,47.2,47.0,-20.5,,bet365 2026-08-05
Round 22,2026-08-03,St Helens,Hull FC,+5.1,+5.1,46.6,47.2,-12.5,,bet365 2026-08-05
Round 22,2026-08-03,Bradford Bulls,Warrington Wolves,-16.3,-11.0,48.1,46.9,+14.5,,bet365 2026-08-05
Round 22,2026-08-03,Wigan Warriors,Toulouse Olympique,+17.4,+14.4,45.7,47.3,-34.5,,bet365 2026-08-05
Round 22,2026-08-03,Huddersfield Giants,Catalans Dragons,-2.8,-0.8,51.8,46.3,-2.5,,bet365 2026-08-05
